Time,Date,Sample,Study plot,Petal side,gsw,leak_pct,plant
12:16:54,3/25/2025,24.0,A,bottom,-0.003849,1.1,#24
12:18:49,3/25/2025,24.0,A,top,0.01222,1.0,#24
12:21:57,3/25/2025,25.0,A,bottom,0.004152,1.1,#25
12:24:11,3/25/2025,25.0,A,top,0.006285,1.3,#25
12:25:01,3/25/2025,26.0,A,bottom,-0.00266,1.3,#26
12:25:36,3/25/2025,26.0,A,top,0.003295,1.1,#26
12:28:00,3/25/2025,27.0,A,bottom,-0.005661,0.9,#27
12:29:55,3/25/2025,27.0,A,top,0.011493,1.4,#27
12:32:40,3/25/2025,28.0,A,bottom,0.001586,1.0,#28
12:33:01,3/25/2025,28.0,A,top,0.026269,1.3,#28
12:35:54,3/25/2025,29.0,A,bottom,-0.000365,1.2,#29
12:36:22,3/25/2025,29.0,A,top,0.006331,1.3,#29
12:39:01,3/25/2025,30.0,A,bottom,-0.001493,1.0,#30
12:39:30,3/25/2025,30.0,A,top,0.029683,1.2,#30
12:42:17,3/25/2025,31.0,A,bottom,-0.003873,1.2,#31
12:42:54,3/25/2025,31.0,A,top,0.01892,1.6,#31
12:45:58,3/25/2025,32.0,A,bottom,0.009627,1.4,#32
12:46:13,3/25/2025,32.0,A,top,0.000796,1.5,#32
12:50:27,3/25/2025,33.0,A,bottom,0.014793,1.3,#33
12:50:47,3/25/2025,33.0,A,top,0.008732,1.4,#33
12:53:27,3/25/2025,34.0,A,bottom,0.018806,1.3,#34
12:53:53,3/25/2025,34.0,A,top,0.019871,1.3,#34
12:57:24,3/25/2025,35.0,A,bottom,0.121286,1.2,#35
12:57:47,3/25/2025,35.0,A,top,0.013593,1.4,#35
13:01:00,3/25/2025,36.0,A,bottom,-0.005893,1.1,#36
13:01:24,3/25/2025,36.0,A,top,0.012926,1.2,#36
13:04:05,3/25/2025,37.0,A,bottom,0.009971,1.5,#37
13:04:35,3/25/2025,37.0,A,top,-0.001222,1.3,#37
13:07:10,3/25/2025,38.0,A,bottom,-0.001137,1.5,#38
13:07:30,3/25/2025,38.0,A,top,0.008152,1.3,#38
